id,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1.18E+18,10/10/2019,14:56:33,India Standard Time,1.17E+18,puretruth4,TrueThoughts,,..#fakeGandhi on his knees pleading.. what a fall..  @RahulGandhi @INCIndia #Congress #RahulGandhi #RaGa,"['opindia_com', 'rahulgandhi', 'incindia']",[],[],0,0,0,"['#fakegandhi', '#congress', '#rahulgandhi', '#raga']",[],https://twitter.com/puretruth4/status/1182225898726182912,FALSE,,0,,,,,,,"[{'user_id': '1174949394459717634', 'username': 'puretruth4'}, {'user_id': '74980737', 'username': 'OpIndia_com'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.18E+18,10/10/2019,12:59:10,India Standard Time,9.91E+17,devils_court,Devils Attorney,,You should read the thread. I am not making mockery of #RahulGandhi or #Congress. I am concerned with the democracy and if have anything better to suggest then you are most welcome.,"['attitudewalee', 'rahulgandhi', 'incindia']",[],[],1,0,0,"['#rahulgandhi', '#congress']",[],https://twitter.com/Devils_Court/status/1182196357030764544,FALSE,,0,,,,,,,"[{'user_id': '990948932300693505', 'username': 'Devils_Court'}, {'user_id': '1150795931769421824', 'username': 'attitudewalee'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.18E+18,10/10/2019,12:00:37,India Standard Time,158704024,drnitinchaube,#WellnessAyurveda (Dr. Nitin Chaube),,"so that means @INCIndia is taking one state at a time and resurrecting a completely new face. #PriyankaGandhi finds a role in #UttarPradesh, but the larger question looms around #RahulGandhi as to what role will he take up in the seemingly disintegrating #congress.","['gauravkapoorvns', 'incniku', 'theasianagenews', 'incuttarpradesh', 'priyankagandhi', 'incupeast', 'incvaranasi', 'rajeevgowda', 'ranajitspeaks', 'akashsatyawali', 'drharsh_aicc', 'ajaylalluinc', 'aradhanam7000', 'rakesh_sachan_', 'rahulgandhi', 'incindia']",[],[],0,0,0,"['#priyankagandhi', '#uttarpradesh', '#rahulgandhi', '#congress']",[],https://twitter.com/drnitinchaube/status/1182181622478585857,FALSE,,0,,,,,,,"[{'user_id': '158704024', 'username': 'drnitinchaube'}, {'user_id': '177156614', 'username': 'gauravkapoorvns'}, {'user_id': '3938468793', 'username': 'IncNiku'}, {'user_id': '130743819', 'username': 'TheAsianAgeNews'}, {'user_id': '1906974517', 'username': 'INCUttarPradesh'}, {'user_id': '1094645942735855618', 'username': 'priyankagandhi'}, {'user_id': '1025792355784376320', 'username': 'INCUPEast'}, {'user_id': '999216112452616192', 'username': 'INCVaranasi'}, {'user_id': '23766957', 'username': 'rajeevgowda'}, {'user_id': '831465726', 'username': 'RanajitSpeaks'}, {'user_id': '2362667064', 'username': 'AkashSatyawali'}, {'user_id': '182851730', 'username': 'DrHarsh_AICC'}, {'user_id': '2860160384', 'username': 'AjayLalluINC'}, {'user_id': '3158772344', 'username': 'aradhanam7000'}, {'user_id': '1056801118758481921', 'username': 'Rakesh_Sachan_'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.18E+18,10/9/2019,18:06:54,India Standard Time,470299753,thedailypioneer,The Pioneer,,#SalmanKhurshid: The debate over Rahul Gandhi's resignation as Congress President continues even more than four months after he took the step in the wake of LS poll debacle. #RahulGandhi #LokSabha #Congress @RahulGandhi @salman7khurshid @INCIndia  https://bit.ly/2p0ut7j ,"['rahulgandhi', 'salman7khurshid', 'incindia']",['https://bit.ly/2p0ut7j'],[],0,0,0,"['#salmankhurshid', '#rahulgandhi', '#loksabha', '#congress']",[],https://twitter.com/TheDailyPioneer/status/1181911415314997249,FALSE,,0,,,,,,,"[{'user_id': '470299753', 'username': 'TheDailyPioneer'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '144470981', 'username': 'salman7khurshid'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.18E+18,10/9/2019,14:11:01,India Standard Time,477702807,nkvneeraj,Neeraj Kumar Verma,,@INCIndia #Congress has become bankrupt and mad.   #RahulGandhi @RahulGandhi @ndtv @republic @Republic_Bharat @ndtvindia @SoniaGandhi_FC,"['ani', 'incindia', 'rahulgandhi', 'ndtv', 'republic', 'republic_bharat', 'ndtvindia', 'soniagandhi_fc']",[],[],0,0,0,"['#congress', '#rahulgandhi']",[],https://twitter.com/nkvneeraj/status/1181852052558770176,FALSE,,0,,,,,,,"[{'user_id': '477702807', 'username': 'nkvneeraj'}, {'user_id': '355989081', 'username': 'ANI'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '37034483', 'username': 'ndtv'}, {'user_id': '811972460560019456', 'username': 'republic'}, {'user_id': '938002728898347008', 'username': 'Republic_Bharat'}, {'user_id': '321271735', 'username': 'ndtvindia'}, {'user_id': '2572249152', 'username': 'SoniaGandhi_FC'}]",
1.18E+18,10/9/2019,13:58:42,India Standard Time,124695679,eashadhawan,Esha Dhawan,,"#RahulRanAway is not the only core reason for  @INCIndia's defeat & steady fade-out. It is, #Congress’ traditional policy of “convenient” secularism woke up the majority Hindus to their religious identity. That is why  @BJP4India rose like Sphinx. #SalmanKhurshid #RahulGandhi","['loneranger9new', 'republic', 'timesnow', 'rahulgandhi', 'incindia', 'bjp4india']",[],[],0,0,0,"['#rahulranaway', '#congress', '#salmankhurshid', '#rahulgandhi']",[],https://twitter.com/eashadhawan/status/1181848950753517568,FALSE,,0,,,,,,,"[{'user_id': '124695679', 'username': 'eashadhawan'}, {'user_id': '1098881835633827840', 'username': 'Loneranger9new'}, {'user_id': '811972460560019456', 'username': 'republic'}, {'user_id': '240649814', 'username': 'TimesNow'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '207809313', 'username': 'BJP4India'}]",
1.18E+18,10/8/2019,18:51:45,India Standard Time,17732518,ormiga,ormiga,,LOL Our leader walked away Salman Khurshid what ails #Congress  identify @INCIndia prob 1st = #rahulgandhi PART TIME neta 56days #meditation vacation && RUN AWAY @rahulgandhi from amethi coz SAW #smritiirani 5yrs work @smritiirani ¿or thoda #brain bhi? https://www.hindustantimes.com/india-news/biggest-problem-is-our-leader-walked-away-congress-leader-on-party-s-struggle/story-R2CvGg5gAINjJ8mORWEfzO.html …,"['incindia', 'rahulgandhi', 'smritiirani']",['https://www.hindustantimes.com/india-news/biggest-problem-is-our-leader-walked-away-congress-leader-on-party-s-struggle/story-R2CvGg5gAINjJ8mORWEfzO.html'],[],0,0,0,"['#congress', '#rahulgandhi', '#meditation', '#smritiirani', '#brain']",[],https://twitter.com/ormiga/status/1181560313151311872,FALSE,,0,,,,,,,"[{'user_id': '17732518', 'username': 'ormiga'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '130104041', 'username': 'smritiirani'}]",
1.18E+18,10/7/2019,17:17:55,India Standard Time,54827721,bawahs,HS Bawa-YesPunjab,,#RahulGandhi pushed to sidelines in #Congress? @RahulGandhi @INCIndia  http://owl.li/MD9q30pG3XU  pic.twitter.com/Xv48XtzUP6,"['rahulgandhi', 'incindia']",['http://owl.li/MD9q30pG3XU'],['https://pbs.twimg.com/media/EGRfxukXoAAd4o0.jpg'],0,0,0,"['#rahulgandhi', '#congress']",[],https://twitter.com/BawaHS/status/1181174312084094976,FALSE,,0,,,,,,,"[{'user_id': '54827721', 'username': 'BawaHS'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.18E+18,10/7/2019,17:17:47,India Standard Time,224961966,yespunjab,YesPunjab(.)com,,#RahulGandhi pushed to sidelines in #Congress? @RahulGandhi @INCIndia  http://owl.li/MD9q30pG3XU  pic.twitter.com/PSd801Llji,"['rahulgandhi', 'incindia']",['http://owl.li/MD9q30pG3XU'],['https://pbs.twimg.com/media/EGRfvw5XUAAeUNM.jpg'],0,0,0,"['#rahulgandhi', '#congress']",[],https://twitter.com/yespunjab/status/1181174277913153536,FALSE,,0,,,,,,,"[{'user_id': '224961966', 'username': 'yespunjab'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.18E+18,10/6/2019,16:51:41,India Standard Time,3194308309,ranjithhosakere,Ranjith H Ashwath,,"Ahead Of Assembly Polls, #Congress Leader #RahulGandhi Leaves For #Bangkok #Election2019 #AssemblyElections2019 @RahulGandhi @INCIndia  pic.twitter.com/NnzR3TorX8","['rahulgandhi', 'incindia']",[],['https://pbs.twimg.com/media/EGMQLhvU0AAFuhN.jpg'],0,0,0,"['#congress', '#rahulgandhi', '#bangkok', '#election2019', '#assemblyelections2019']",[],https://twitter.com/RanjithHosakere/status/1180805322148995072,FALSE,,0,,,,,,,"[{'user_id': '3194308309', 'username': 'RanjithHosakere'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
